"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"13.5 Fabricação de artefatos têxteis, exceto vestuário";"2007";"7020279";"4324780";"625660";"13682539";"8429006";"1219413";"1,41811212740686"
"Setor";"14 Confecção de artigos do vestuário e acessórios";"2007";"24391063";"13121094";"3606959";"47538235";"25573041";"7029971";"1,45809335969942"
"Sub_Setor";"14.1 Confecção de artigos do vestuário e acessórios";"2007";"23529012";"12689754";"3485164";"45858096";"24732358";"6792592";"1,45466035747446"
"Sub_Setor";"14.2 Fabricação de artigos de malharia e tricotagem";"2007";"862051";"431340";"121795";"1680139";"840683";"237379";"1,55848210653819"
"Setor";"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"2007";"22965035";"13490974";"2938034";"44758903";"26293938";"5726235";"1,39783454971840"
"Sub_Setor";"15.1 Curtimento e outras preparações de couro";"2007";"5937153";"4633065";"391101";"11571524";"9029854";"762257";"1,18171911517255"
"Sub_Setor";"15.2 Fabricação de artigos para viagem e de artefatos diversos de couro";"2007";"1094533";"577591";"191299";"2133247";"1125726";"372842";"1,42352352091977"
"Sub_Setor";"15.3 Fabricação de calçados";"2007";"15045524";"7836868";"2159913";"29323759";"15274073";"4209675";"1,50503687136889"
"Sub_Setor";"15.4 Fabricação de partes para calçados, de qualquer material";"2007";"887825";"443449";"195721";"1730373";"864283";"381461";"1,38902795813320"
"Setor";"16 Fabricação de produtos de madeira";"2007";"16717156";"8908606";"1866905";"32581774";"17362893";"3638602";"1,55140262025625"
"Sub_Setor";"16.1 Desdobramento de madeira";"2007";"6098731";"3063654";"749103";"11886440";"5971068";"1460003";"1,59955932150934"
